LotFrontage;LotArea;YearBuilt;YearRemodAdd;BedroomAbvGr;TotRmsAbvGrd;GarageCars;Price
80;11622;1961;1961;2;5;1;169277,05
81;14267;1958;1958;3;6;1;187758,39
74;13830;1997;1998;3;6;2;183583,68
78;9978;1998;1998;3;7;2;179317,48
43;5005;1992;1992;2;5;2;150730,08
75;10000;1993;1994;3;7;2;177150,99
NA;7980;1992;2007;3;6;2;172070,66
63;8402;1998;1998;3;7;2;175110,96
85;10176;1990;1990;2;5;2;162011,70
70;8400;1970;1970;2;4;2;160726,25
26;5858;1999;1999;2;5;2;157933,28
21;1680;1971;1971;2;5;1;145291,25
21;1680;1971;1971;3;6;1;159672,02
24;2280;1975;1975;3;6;2;164167,52
24;2280;1975;1975;2;4;1;150891,64
102;12858;2009;2010;3;10;3;179460,97
94;12883;2009;2010;3;7;3;185034,63
90;11520;2005;2005;3;7;3;182352,19
79;14122;2005;2006;3;8;3;183053,46
110;14300;2003;2004;3;10;3;187823,34
105;13650;2002;2002;3;7;3;186544,11
41;7132;2006;2006;2;6;2;158230,78
100;18494;2005;2005;3;6;2;190552,83
43;3203;2006;2006;2;6;2;147183,67
67;13300;2004;2004;3;7;2;185855,30
63;8577;2004;2004;3;7;2;174350,47
60;17433;1998;1998;4;7;3;201740,62
73;8987;2005;2006;2;6;3;162986,38
92;9215;2009;2010;2;4;2;162330,20
84;10440;2005;2005;2;6;2;165845,94
70;11920;2004;2004;3;8;2;180929,62
70;9800;1920;1950;2;5;1;163481,50
39;15410;1974;2002;3;7;2;187798,08
85;13143;1993;1993;4;9;3;198822,20
88;11134;1992;1993;4;7;3;194868,41
25;4835;2004;2005;2;6;2;152605,30
39;3515;2004;2004;2;3;2;147797,70
30;3215;2004;2004;2;4;2;150521,97
24;2544;2004;2005;2;4;2;146991,63
24;2544;2005;2005;2;4;2;150306,31
NA;2980;2000;2000;2;5;2;151164,37
NA;2403;2003;2003;2;4;2;151133,71
57;12853;2010;2010;1;6;3;156214,04
68;7379;2000;2000;3;7;2;171992,76
80;8000;2002;2002;3;6;2;173214,91
NA;10456;1967;1967;4;8;2;192429,19
80;10791;1993;1993;4;9;2;190878,70
NA;18837;1978;1978;3;7;2;194542,54
80;9600;1971;1971;4;7;2;191849,44
80;9600;1966;1966;3;6;2;176363,77
90;9900;1966;1966;3;6;2;176954,19
88;9680;1967;1967;3;6;2;176521,22
NA;10600;1964;1964;3;8;2;179436,70
98;13260;1962;2001;6;10;0;220079,76
68;9724;1952;2002;3;7;2;175502,92
120;17360;1949;1950;3;6;2;188321,07
75;11380;1966;2008;2;5;1;163276,32
70;8267;1958;1958;4;8;2;185911,37
70;8197;2003;2009;3;7;2;171392,83
NA;8050;1959;1959;3;6;1;174418,21
87;10725;1959;1959;3;6;1;179682,71
80;10032;1959;1959;3;6;2;179423,75
60;8382;1956;1956;3;5;1;171756,92
60;10950;1952;1952;2;4;1;166849,64
119;10895;1955;1955;3;5;1;181122,17
70;13587;1958;1958;2;5;1;170934,46
65;7898;1920;1994;2;4;2;159738,29
60;8064;1948;2004;3;5;1;174445,76
81;7635;1960;1960;3;6;2;174706,36
80;9760;1963;1984;2;7;2;164507,67
60;4800;1900;1954;3;9;1;163602,51
56;4485;1920;1950;2;5;0;154126,27
69;5805;1957;1957;3;6;2;171104,85
50;6900;1938;2000;3;6;1;167735,39
69;11851;1948;2009;3;7;1;183003,61
NA;8239;1920;1962;3;6;1;172580,38
68;9656;1923;1970;2;5;2;165407,89
60;9600;1900;2003;3;7;1;176363,77
50;9000;1890;2002;3;7;2;175182,95
100;9045;1910;1950;4;12;0;190757,18
60;10560;1922;1994;2;6;2;167187,00
53;5830;1950;1997;3;7;1;167839,38
NA;7793;1922;2005;3;8;1;173912,42
50;5000;1925;1950;2;4;1;154034,92
50;6000;1939;1950;2;5;1;156002,96
50;6000;1940;1950;3;6;2;168173,94
53;6360;1942;1950;3;7;1;168882,44
50;6000;1948;1950;3;6;1;168173,94
52;6240;1936;1980;2;5;2;157580,18
52;6240;1930;1950;4;7;2;181922,15
51;6120;1923;1950;2;5;1;155134,23
57;8094;1915;1950;4;9;2;188885,57
60;12900;1912;2009;3;7;0;183963,19
52;3068;1920;1993;3;6;1;161298,76
100;15263;1959;1959;3;8;1;188613,67
72;10632;1917;1950;3;6;1;175080,11
60;9900;1915;1950;3;6;0;174744,40
65;6001;1940;1950;3;5;1;168175,91
NA;6449;1907;1950;4;7;0;182333,47
60;6048;1910;1950;2;7;2;158307,21
72;10773;1967;1967;4;8;0;193053,06
65;7800;1966;2008;3;5;1;175031,09
65;7832;1968;1968;2;4;1;160713,29
NA;7424;1978;1978;3;5;2;173186,22
86;11227;1968;1968;4;7;2;191736,76
NA;20062;1977;2001;1;4;2;170401,63
94;9259;1927;1950;2;4;2;164626,58
NA;17082;1978;1992;4;8;2;205469,41
124;18600;1938;1990;4;8;1;209561,78
65;11479;1950;1987;3;6;1;182271,50
50;9350;1947;1979;3;8;1;178081,55
75;9525;1954;1998;3;5;1;178425,96
44;17485;2009;2010;1;5;2;162015,32
NA;11200;1964;1964;3;5;2;181722,42
83;11980;1987;1987;1;4;2;156705,73
87;12361;1993;1993;3;8;4;182902,42
64;7360;2010;2010;2;6;2;157574,60
82;14235;1900;1993;3;6;2;184380,74
82;11105;1996;1996;2;4;2;169364,47
NA;9337;1997;1998;3;8;2;175846,18
38;15240;1977;2004;3;5;1;189673,30
68;7480;1972;1972;3;5;2;174401,32
80;10389;2003;2003;3;8;3;179021,45
75;9375;1997;1997;4;9;2;189196,85
NA;4435;2003;2003;1;4;2;139647,10
67;8777;1945;2007;2;5;1;161468,20
68;8842;1954;1954;3;6;1;171557,32
60;10044;1968;1968;3;6;1;179447,37
89;11792;1948;1950;2;5;2;169611,62
65;6305;1975;1975;3;5;1;172088,87
64;6410;1958;1958;3;5;0;171190,62
67;4853;1924;1999;2;5;1;154850,51
NA;7890;1939;1950;2;4;2;158617,66
60;7200;1967;1967;6;10;0;209258,34
51;9839;1931;1950;3;7;0;177939,03
78;10452;1941;1985;4;8;1;194631,10
78;15600;1950;1991;5;11;2;213618,87
85;19645;1994;2007;3;6;2;198342,50
35;3907;1989;1989;1;4;2;138607,97
35;3907;1989;1989;2;5;2;150778,96
58;8154;1941;1950;1;4;1;146966,23
50;9140;1921;1975;2;5;1;162182,60
66;8712;1896;1950;3;5;1;176825,94
44;3811;2004;2005;2;5;2;152799,81
85;11050;1998;1999;3;8;3;180322,32
74;9620;1977;1977;3;6;2;177508,03
NA;12760;1976;1976;5;9;2;208029,64
88;11896;2008;2008;3;6;3;181987,28
73;9803;2009;2010;2;6;2;160172,73
73;9802;2006;2007;3;7;2;176761,32
85;15300;1965;1977;2;7;2;176515,50
93;10114;2004;2005;3;7;2;176270,45
NA;11875;1999;1999;3;7;2;183050,85
31;2394;1973;1973;2;5;1;150011,10
21;1476;1970;1970;3;5;0;159270,54
21;1900;1970;1970;3;5;0;163419,66
21;1890;1972;1972;3;5;1;163399,98
50;6953;1971;2004;3;5;1;173364,16
76;12887;1984;1984;2;5;2;169556,84
70;7700;1985;1986;4;10;2;183690,60
63;10475;1991;1991;3;6;2;176980,91
68;10544;1969;1969;5;8;1;204773,36
76;9892;1994;1995;3;6;2;174728,66
74;12961;1993;1994;3;7;2;181873,46
74;13008;1956;1956;2;5;1;177322,00
85;10200;1974;1974;4;7;2;193927,94
88;10179;1997;1997;3;7;2;181715,62
NA;11792;2003;2003;4;9;3;199270,84
60;8400;1996;1997;3;7;2;177109,59
28;7296;2004;2005;1;8;2;153909,58
61;7380;1998;1998;2;5;2;162931,20
57;8013;1995;1996;2;6;2;166386,76
57;8923;1998;1998;3;7;2;173719,30
60;7500;1998;1999;3;7;2;179757,93
NA;8803;1994;1995;3;7;2;179007,60
58;7250;1993;1993;3;6;2;180370,81
85;11900;1977;1977;3;6;2;185102,62
